#separator: tab
#html:true
ウェイ	way
狐 | きつね	fox (esp. the red fox, Vulpes vulpes), fox (i.e. a sly person)
予断 | よだん	guessing; prediction; conclusion
原動力 | げんどうりょく	motive power; driving force
花壇 | かだん	flower bed
画廊 | がろう	art gallery (esp. artworks for sale); picture gallery
北北西 | ほくほくせい	north-northwest
裏腹 | うらはら	opposite; reverse; contrary
多岐 | たき	digression; many divergences
読み方 | よ, かた	way of reading; how to read
一躍 | いちやく	suddenly (rising to fame, etc.); instantly; immediately; overnight, one bound; one leap
ぽい	-ish; -like, tossing something out; throwing something away
乱れ | みだ	disorder; disturbance; unrest
著す | あらわ	to write; to publish
躍進 | やくしん	making rapid progress; making great advances; rush; dash; onslaught
貧富 | ひんぷ	wealth and poverty; rich and poor
歩調 | ほちょう	pace; step; cadence
昨今 | さっこん	nowadays; recently
我 | われ	I; me, oneself
きせい	fervour; fervor; vigour; vigor; ardour; ardor; spirit
借地 | しゃくち	leased land
不合理 | ふごうり	unreasonable; irrational; absurd; inconsistent
乗換 | のりかえ	transfer (trains, buses, etc.); connection; connexion, switching (stock)
呼び出し | よ, だ	call; summons; paging; curtain call, usher who calls the names of wrestlers, sweeps the ring, etc.
きみ	egg yolk
氷河 | ひょうが	glacier
後片付け | あとかたづ	tidying up; cleaning; clearing away; putting in order
来客 | らいかく	visitor; caller
噛む | か	to bite, to chew; to gnaw; to masticate
密室 | みっしつ	room that cannot be entered (e.g. because it's locked from the inside), secret room
家来 | けらい	retainer; retinue; servant
仕切り | しき	partition; division; boundary; compartment, settlement of accounts
括弧 | かっこ	parentheses; brackets
弦 | つる	bowstring, string (of shamisen, guitar, violin, etc.)
結集 | けっしゅう	concentration; regimentation
広範 | こうはん	wide; extensive; comprehensive; far-reaching; widespread
供養 | くよう	memorial service for the dead; holding a service
エビ	prawn; shrimp; lobster; crayfish
行き来 | い, き	coming and going; keeping in touch; visiting each other, street traffic; highway
うす	millstone; mortar
じゅん	ten-day period
言い渡す | い, わた	to announce; to tell; to sentence; to order
起草 | きそう	drafting; draughting; drawing up a bill
善意 | ぜんい	virtuous mind, good intentions; good will
非合法 | ひごうほう	illegal; unlawful
しょくあん	Public Employment Security Office
輝き | かがや	brightness; brilliance; brilliancy; radiance; glitter
満塁 | まんるい	bases loaded
暁 | あかつき	dawn; daybreak, event (e.g. "in the event of ..."); occasion; occurrence
仕立て | した	tailoring; dressmaking; sewing; making; preparation
跳ねる | は	to jump; to leap; to prance; to spring up; to bound; to hop, to break up; to close; to come to an end
先程 | さきほど	some time ago; not long ago; just now
辛い | つら	painful; bitter; heart-breaking; difficult (emotionally), tough; difficult; hard (usu. of situations)
弊害 | へいがい	adverse effect; harmful effect; harmful result; malady; negative effect; harmful influence; evil practice
二枚 | にまい	two sheets (pieces) (of paper)
まく	to scatter; to sprinkle; to strew, to distribute (handbills, etc.); to spread (rumours, etc.)
さい	rhinoceros
かじ	rudder; helm
大当たり | おおあ	big hit; big prize; bumper crop; striking it rich; right on the mark; bonanza; bull's eye; bullseye
ふどうさん	real estate
行ける | い	to be good (at); to go well, to look (taste, etc.) good
宴 | えん	party; banquet; feast
道のり | みち	distance; journey; itinerary, way; process
自営 | じえい	independent; self-employed; self-supporting; operating own business
羽目 | はめ	panel; wainscoting; wainscotting, plight; fix; bind; awkward situation; difficult situation; mess
家 | や	(something) shop, somebody who sells (something) or works as (something)
はかり	measurements; weighing
引っ掛ける | ひ, か	to hang (something) on (something); to throw on (clothes), to hook; to catch; to trap; to ensnare
癒着 | ゆちゃく	adhesion; conglutination, collusion; collusive relationship
打ち合わせ | う, あ	advance arrangements; preparatory meeting; briefing session, overlap (of a coat, etc.)
花瓶 | かびん	(flower) vase
嘆き | なげ	grief; lamentation
喜んで | よろこ	with pleasure ...
弁解 | べんかい	justification; rationalization; pretext; explanation; exculpation; defence; defense; excuse; apology
かおる	to smell sweet; to be fragrant
気を付ける | き, つ	to be careful; to pay attention; to take care
やまなみ	range of mountains; mountain range; mountain belt
おろか	neglect; negligence; carelessness, not to mention ...; needless to say ...; not to speak of ...; not only ...
御用 | ごよう	your order; your business; official business, arrest; apprehension; capture
済み | す	arranged; taken care of; settled; completed; finished
きょくばん	telephone exchange number
節目 | ふしめ	turning point; critical juncture, knot (in a tree, etc.)
小柄 | こがら	small build; small stature; petite, small pattern
梅干し | うめぼ	umeboshi; pickled ume; pickled plum
かかり	starting; engaging, expenses; costs
成り行き | な, ゆ	outcome; development; course of events; progress; result, market order; order without limit
わさび	wasabi (Wasabia japonica)
こもる	to seclude oneself; to be confined in, to be filled (e.g. with emotion, satire, etc.); to be heavy (with)
鳴き声 | な, ごえ	cry (esp. animal); roar; chirp; tweet; bark; whine; meow
従業員 | じゅうぎょういん	employee; worker
漬物 | つけもの	tsukemono; Japanese pickled vegetables
